artist,song,duration_ms,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Donell Jones,Where I Wanna Be,253626,1999,57,0.664,0.396,-9.131,0.0298,0.52,0.0,0.268,0.453,102.053,"pop, R&B"
Savage Garden,Crash and Burn,281466,1999,54,0.581,0.607,-8.458,0.028,0.189,1.6e-06,0.0882,0.213,102.03,pop
Westlife,My Love,231760,2000,68,0.491,0.593,-5.975,0.0255,0.098,0.0,0.257,0.328,144.142,pop
All Saints,Pure Shores,268746,2000,62,0.631,0.664,-9.197,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop
Destiny's Child,"Independent Women, Pt. 1",221133,2001,65,0.73,0.602,-3.782,0.206,0.362,3.69e-06,0.169,0.927,97.954,"pop, R&B"
*NSYNC,It's Gonna Be Me,191040,2000,60,0.644,0.874,-4.666,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,pop
Erykah Badu,Bag Lady,348893,2000,54,0.724,0.416,-8.964,0.0841,0.365,0.0,0.0969,0.578,151.181,"hip hop, R&B"
Marc Anthony,You Sang To Me,347106,1999,56,0.578,0.894,-5.42,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,"pop, latin"
Matchbox Twenty,Bent,256133,2000,54,0.518,0.83,-6.814,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,"pop, rock"
Gabrielle,Rise,219093,2001,60,0.558,0.481,-9.487,0.026,0.315,8.83e-06,0.09,0.631,144.673,"pop, R&B"
Backstreet Boys,Shape of My Heart,230093,2000,70,0.575,0.786,-4.353,0.0296,0.252,0.0,0.159,0.518,96.102,pop
Creed,With Arms Wide Open,274800,1999,64,0.41,0.539,-8.412,0.0302,0.00425,0.00089,0.117,0.141,138.852,"pop, rock, metal"
The Corrs,Breathless,207506,2000,68,0.607,0.82,-7.754,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,"pop, Folk/Acoustic"
Joe,I Wanna Know,296693,2000,65,0.725,0.487,-5.959,0.0368,0.26,1.09e-05,0.431,0.599,136.086,"pop, R&B"
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,1999,64,0.829,0.915,-3.205,0.106,0.226,1.25e-05,0.246,0.779,118.903,pop
Creed,Higher,316733,1999,69,0.459,0.83,-6.254,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,"pop, rock, metal"
Britney Spears,Lucky,206226,2000,65,0.765,0.791,-5.707,0.0317,0.262,0.000154,0.0669,0.966,95.026,pop
Shaggy,It Wasn't Me,227600,2000,76,0.853,0.606,-4.596,0.0713,0.0561,0.0,0.313,0.654,94.759,"hip hop, pop"
Destiny's Child,Survivor,254026,2001,70,0.514,0.911,-2.027,0.41,0.0559,0.0,0.775,0.619,161.109,"pop, R&B"
Kylie Minogue,Can't Get You out of My Head,230640,2001,73,0.766,0.563,-7.516,0.0339,0.0263,0.683,0.115,0.964,126.007,"pop, Dance/Electronic"
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,2001,68,0.76,0.801,-3.769,0.0534,0.0144,1.49e-05,0.665,0.653,109.919,pop
Nelly Furtado,I'm Like A Bird,243160,2000,1,0.622,0.608,-5.085,0.036,0.138,5.38e-06,0.273,0.607,89.661,"hip hop, pop, latin"
Shakira,"Whenever, Wherever",196160,2001,74,0.794,0.832,-4.862,0.0407,0.237,1.14e-05,0.203,0.871,107.657,"pop, latin"
Jimmy Eat World,The Middle,165853,2001,78,0.643,0.849,-5.428,0.0526,0.0371,0.0,0.058,0.903,162.152,"rock, pop"
Train,Drops of Jupiter (Tell Me),259933,2001,77,0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,pop
Geri Halliwell,It's Raining Men,254640,2001,62,0.637,0.929,-6.03,0.0447,0.063,0.00796,0.318,0.604,136.482,pop
Blu Cantrell,Hit 'Em Up Style (Oops!),250706,2001,71,0.667,0.773,-4.983,0.0586,0.201,0.0,0.404,0.667,89.976,"pop, R&B"
Britney Spears,I'm a Slave 4 U,203600,2001,69,0.847,0.843,-3.579,0.106,0.415,0.000134,0.107,0.963,110.027,pop
Kylie Minogue,In Your Eyes,197826,2001,62,0.689,0.894,-6.342,0.0672,0.133,4.72e-05,0.0681,0.709,123.971,"pop, Dance/Electronic"
Mary J. Blige,Family Affair,265866,2001,76,0.911,0.551,-3.75,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,"pop, R&B"
Faithless,We Come 1 - Radio Edit,222435,2015,53,0.645,0.903,-10.587,0.0441,0.00188,0.799,0.147,0.61,135.977,"pop, Dance/Electronic"
Lasgo,Something,220973,2001,65,0.643,0.981,-6.644,0.0439,0.0271,8.93e-05,0.11,0.38,140.01,pop
iio,Rapture (feat.Nadia Ali),253586,2006,54,0.661,0.855,-8.403,0.0377,0.0722,0.0185,0.199,0.601,123.943,Dance/Electronic
Emma Bunton,What Took You So Long?,241000,2001,54,0.668,0.772,-5.4,0.0307,0.123,0.0,0.341,0.911,118.011,pop
112,It's Over Now,264933,2001,57,0.66,0.71,-4.541,0.0409,0.0106,7.01e-06,0.0736,0.233,97.988,"hip hop, pop, R&B"
Blue,All Rise,223546,2001,63,0.721,0.737,-2.734,0.0324,0.121,0.0,0.165,0.931,97.996,pop
Jessica Simpson,Irresistible,194026,2001,43,0.657,0.965,-2.771,0.0556,0.0285,8.84e-05,0.0552,0.669,93.013,"pop, R&B"
